stream,sample_index,receive_gap_ms,exchange_event_gap_ms,sampled_from_total
depth,10707,101.617652,102.000,17554
depth,10725,99.533654,102.000,17554
depth,10743,114.959804,104.000,17554
depth,10760,22.355103,102.000,17554
depth,10778,101.87452,102.000,17554
depth,10795,128.855202,102.000,17554
depth,10813,101.85195,102.000,17554
depth,10830,105.0837,104.000,17554
depth,10848,101.549255,102.000,17554
depth,10865,104.902667,102.000,17554
depth,10883,33.258199,102.000,17554
depth,10901,101.706094,102.000,17554
depth,10918,131.180477,102.000,17554
depth,10936,90.906214,102.000,17554
depth,10953,79.585505,102.000,17554
depth,10971,102.134116,102.000,17554
depth,10988,173.269091,102.000,17554
depth,11006,63.328628,102.000,17554
depth,11023,101.412372,102.000,17554
depth,11041,121.134594,102.000,17554
depth,11059,103.524149,104.000,17554
depth,11076,102.532812,102.000,17554
depth,11094,104.161214,104.000,17554
depth,11111,137.112792,102.000,17554
depth,11129,95.405093,102.000,17554
depth,11146,102.05672,102.000,17554
depth,11164,34.276632,104.000,17554
depth,11181,103.534917,104.000,17554
depth,11199,14.360974,102.000,17554
depth,11217,100.898415,102.000,17554
depth,11234,118.259352,102.000,17554
depth,11252,101.670644,102.000,17554
depth,11269,101.652699,102.000,17554
depth,11287,37.779176,102.000,17554
depth,11304,104.254702,104.000,17554
depth,11322,143.039238,102.000,17554
depth,11339,104.15645,104.000,17554
depth,11357,27.471144,104.000,17554
depth,11374,58.290178,104.000,17554
depth,11392,109.772626,102.000,17554
depth,11410,72.981274,102.000,17554
depth,11427,137.885907,102.000,17554
depth,11445,105.064793,102.000,17554
depth,11462,83.117876,102.000,17554
depth,11480,37.152586,102.000,17554
depth,11497,77.589632,102.000,17554
depth,11515,101.560272,102.000,17554
depth,11532,101.923111,102.000,17554
depth,11550,103.241638,104.000,17554
depth,11568,24.817505,102.000,17554
depth,11585,104.272429,104.000,17554
depth,11603,135.857791,104.000,17554
depth,11620,102.906166,102.000,17554
depth,11638,103.612617,104.000,17554
depth,11655,9.854581,102.000,17554
depth,11673,176.345206,102.000,17554
depth,11690,139.684931,104.000,17554
depth,11708,97.050539,102.000,17554
depth,11726,3.86343,102.000,17554
depth,11743,104.519472,102.000,17554
depth,11761,489.810005,104.000,17554
depth,11778,63.690469,102.000,17554
depth,11796,163.624043,102.000,17554
depth,11813,147.536039,102.000,17554
depth,11831,101.918007,102.000,17554
depth,11848,6.404587,102.000,17554
depth,11866,101.416203,102.000,17554
depth,11884,180.363935,102.000,17554
depth,11901,304.719682,104.000,17554
depth,11919,85.961853,102.000,17554
depth,11936,103.940731,104.000,17554
depth,11954,89.917826,102.000,17554
depth,11971,253.812985,102.000,17554
depth,11989,101.871166,102.000,17554
depth,12006,119.450798,102.000,17554
depth,12024,101.715248,102.000,17554
depth,12042,375.362101,104.000,17554
depth,12059,41.999704,104.000,17554
depth,12077,102.477981,102.000,17554
depth,12094,131.895553,102.000,17554
depth,12112,107.068915,104.000,17554
depth,12129,104.849481,104.000,17554
depth,12147,120.602499,104.000,17554
depth,12164,196.896269,102.000,17554
depth,12182,77.900954,102.000,17554
depth,12200,102.034903,102.000,17554
depth,12217,119.334479,102.000,17554
depth,12235,102.916654,102.000,17554
depth,12252,100.727216,104.000,17554
depth,12270,102.076844,102.000,17554
depth,12287,168.980548,104.000,17554
depth,12305,73.884048,102.000,17554
depth,12322,102.557633,102.000,17554
depth,12340,114.591937,102.000,17554
depth,12358,103.213103,102.000,17554
depth,12375,102.572336,102.000,17554
depth,12393,109.33319,102.000,17554
