market,mode,variant_id,period,reason_code,count
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,PULLBACK_TOO_DEEP,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,PULLBACK_TOO_OLD,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,PRICE_OVEREXTENDED,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,VOLUME_REJECTED,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,VOLATILITY_REJECTED,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,ENTER_LONG_APPROVED,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,ENTER_SHORT_APPROVED,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,POSITION_MANAGED_BY_ENGINE,931
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,SHORT_APPROVED,42
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,TREND_NOT_CONFIRMED,5780
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,VOLATILITY_TOO_HIGH,6
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,VOLUME_TOO_LOW,10661
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,TREND_NOT_ESTABLISHED,1291
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7127
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,NO_PULLBACK,287
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,PULLBACK_TOO_SHALLOW,1
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,PULLBACK_TOO_DEEP,1
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,PULLBACK_TOO_OLD,2
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8685
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,25
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,PRICE_OVEREXTENDED,1
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,VOLUME_REJECTED,0
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,VOLATILITY_REJECTED,0
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,ENTER_LONG_APPROVED,0
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,ENTER_SHORT_APPROVED,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,TREND_NOT_ESTABLISHED,1291
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7293
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,NO_PULLBACK,139
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PULLBACK_TOO_SHALLOW,1
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PULLBACK_TOO_DEEP,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PULLBACK_TOO_OLD,1
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8685
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,10
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PRICE_OVEREXTENDED,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,VOLUME_REJECTED,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,VOLATILITY_REJECTED,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,ENTER_LONG_APPROVED,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,ENTER_SHORT_APPROVED,0
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,TREND_NOT_ESTABLISHED,1291
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7127
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,NO_PULLBACK,287
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PULLBACK_TOO_SHALLOW,1
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PULLBACK_TOO_DEEP,1
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PULLBACK_TOO_OLD,2
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8685
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,25
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PRICE_OVEREXTENDED,1
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,VOLUME_REJECTED,0
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,VOLATILITY_REJECTED,0
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,ENTER_LONG_APPROVED,0
