symbol,funding_time,funding_rate,mark_price
ETHUSDT,2022-04-05T08:00:00.010000+00:00,0.00010000,
ETHUSDT,2022-04-05T16:00:00.008000+00:00,0.00007974,
ETHUSDT,2022-04-06T00:00:00.001000+00:00,0.00009470,
ETHUSDT,2022-04-06T08:00:00.021000+00:00,-0.00014471,
ETHUSDT,2022-04-06T16:00:00+00:00,0.00006028,
ETHUSDT,2022-04-07T00:00:00.009000+00:00,0.00008854,
ETHUSDT,2022-04-07T08:00:00+00:00,-0.00009945,
ETHUSDT,2022-04-07T16:00:00+00:00,0.00004585,
ETHUSDT,2022-04-08T00:00:00+00:00,-0.00009963,
ETHUSDT,2022-04-08T08:00:00.004000+00:00,-0.00003214,
ETHUSDT,2022-04-08T16:00:00.008000+00:00,0.00010000,
ETHUSDT,2022-04-09T00:00:00.008000+00:00,0.00010000,
ETHUSDT,2022-04-09T08:00:00+00:00,0.00010000,
ETHUSDT,2022-04-09T16:00:00.001000+00:00,0.00010000,
ETHUSDT,2022-04-10T00:00:00.004000+00:00,0.00010000,
ETHUSDT,2022-04-10T08:00:00.007000+00:00,0.00010000,
ETHUSDT,2022-04-10T16:00:00.016000+00:00,0.00005980,
ETHUSDT,2022-04-11T00:00:00+00:00,0.00004676,
ETHUSDT,2022-04-11T08:00:00+00:00,0.00010000,
ETHUSDT,2022-04-11T16:00:00.009000+00:00,0.00010000,
ETHUSDT,2022-04-12T00:00:00+00:00,-0.00003306,
ETHUSDT,2022-04-12T08:00:00.006000+00:00,-0.00004036,
ETHUSDT,2022-04-12T16:00:00.013000+00:00,-0.00016064,
ETHUSDT,2022-04-13T00:00:00.005000+00:00,-0.00002262,
ETHUSDT,2022-04-13T08:00:00.008000+00:00,-0.00016876,
ETHUSDT,2022-04-13T16:00:00.013000+00:00,0.00003222,
ETHUSDT,2022-04-14T00:00:00.007000+00:00,-0.00002200,
ETHUSDT,2022-04-14T08:00:00+00:00,0.00005593,
ETHUSDT,2022-04-14T16:00:00.006000+00:00,-0.00003051,
ETHUSDT,2022-04-15T00:00:00.008000+00:00,-0.00012221,
ETHUSDT,2022-04-15T08:00:00.002000+00:00,-0.00003677,
ETHUSDT,2022-04-15T16:00:00+00:00,-0.00000334,
ETHUSDT,2022-04-16T00:00:00.011000+00:00,-0.00002900,
ETHUSDT,2022-04-16T08:00:00.007000+00:00,-0.00012314,
ETHUSDT,2022-04-16T16:00:00.007000+00:00,-0.00003323,
ETHUSDT,2022-04-17T00:00:00+00:00,0.00002480,
ETHUSDT,2022-04-17T08:00:00.004000+00:00,-0.00006458,
ETHUSDT,2022-04-17T16:00:00+00:00,0.00002937,
ETHUSDT,2022-04-18T00:00:00.008000+00:00,-0.00005257,
ETHUSDT,2022-04-18T08:00:00.012000+00:00,-0.00004410,
ETHUSDT,2022-04-18T16:00:00+00:00,-0.00013169,
ETHUSDT,2022-04-19T00:00:00.021000+00:00,0.00008478,
ETHUSDT,2022-04-19T08:00:00.031000+00:00,0.00003976,
ETHUSDT,2022-04-19T16:00:00+00:00,0.00002251,
ETHUSDT,2022-04-20T00:00:00.025000+00:00,0.00010000,
ETHUSDT,2022-04-20T08:00:00.003000+00:00,0.00006595,
ETHUSDT,2022-04-20T16:00:00+00:00,-0.00000105,
ETHUSDT,2022-04-21T00:00:00+00:00,-0.00009577,
ETHUSDT,2022-04-21T08:00:00+00:00,-0.00012991,
ETHUSDT,2022-04-21T16:00:00.024000+00:00,-0.00000956,
ETHUSDT,2022-04-22T00:00:00.008000+00:00,-0.00011914,
ETHUSDT,2022-04-22T08:00:00.008000+00:00,-0.00017158,
ETHUSDT,2022-04-22T16:00:00.008000+00:00,-0.00002649,
