configuration,period,scenario,fold,leverage,trades,long_trades,short_trades,net_return_percent,gross_return_percent,maximum_drawdown_percent,win_rate_percent,profit_factor,expectancy,trading_fees,funding_paid,funding_received,net_funding,liquidation_fees,liquidation_count,exposure_long_percent,exposure_short_percent,average_margin_utilization_percent,average_effective_leverage,minimum_margin_ratio,best_trade_concentration_percent,bankrupt,depleted,warnings,train_start,train_end,validation_start,validation_end,dataset_hash,fold_count,positive_fold_percent,mean_return_percent,median_return_percent,funding_unchanged_by_cost_scenario
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,LOW_COST,4,1,8,1,7,0.875583906115658388339101500,0.9376109525732216857142857123,2.616710771857711851172462119,37.500,1.196121508956829730210505423,10.94479882644572985423876786,9.582404518093648434285714285,0.939083418911827264229814,4.318783291249145960997100,3.379699872337318696767286,0,0,0.7870370370370370370370370370,11.01851851851851851851851852,2.782241019056666645440187883,0.02759787845214715324138389281,18524.38698850772131990797370,37.59034154744583898467177603,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-09-28T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,2025-09-28T00:00:00+00:00,2025-12-26T23:59:59.999000+00:00,f39c7a3fdeffb86306cf1254477317805b9d38d3a5674f86a63ce31d48798347,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,LOW_COST,CONSOLIDATED,,33,,,,,,,,,39.17913781706260086714285714,,,-4.411725523787166562657495,,,,,,,,,,,,,,,,,4,100,1.932394642193165738568356275,1.668551881183213739424966450,True
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,BASE_COST,1,1,10,0,10,3.256724274659207016868308600,3.442052421377961242857142846,5.013023684211950923814430317,50.0,1.597622520226142378398416511,32.56724274659207016868308468,22.24670166006677281785714285,0.142617771422379500000000,3.856504759613729718973705,3.713886988191350218973705,0,0,0,9.398148148148148148148148148,2.199537619826957967295948831,0.02193545106064179165771198319,18027.17844776779136584647119,23.52706106795813692119499100,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-01-02T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,2025-01-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,c481a30cfd29774c5ac3c88865d80f80a9d0df7789efd24cc898cf4b4a7dd872,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,BASE_COST,2,1,10,6,4,1.23555892750447508901523100,1.517347531377663528571428565,2.986665228202254202164445395,40.0,1.211731927871325984721727659,12.35558927504475089015230906,23.95859946365573960500000001,4.434585508937375820560669,0.214324585274271469940903,-4.220260923663104350619766,0,0,5.833333333333333333333333333,3.657407407407407407407407407,2.286869967947811280287345294,0.02281241163428958122707956056,17631.24397322750695966356690,27.50269426579406866365548581,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-04-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,2025-04-01T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,0ee8c2a5fc594ceb05315602958b73e3205db92dfdd4766ea8b2c34ce13051d2,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,BASE_COST,3,1,5,5,0,1.64242000162844840171314500,1.842744207660560400000000003,1.518928865305780996138503648,60.0,2.084165838740286423693994778,32.84840003256896803426289848,12.76951955738487972000000000,7.262901045826320108685508,0,-7.262901045826320108685508,0,0,12.36111111111111111111111111,0,3.087678094559814395700864103,0.03100943330635561875804842334,2.00E+4,36.32731368658599152596466039,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-06-30T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,2025-06-30T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,fe37378d111ea376ca5028a72626f352a4050859db839351a331073f39b98ed7,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,BASE_COST,4,1,8,1,7,0.657770083890577370971180600,0.8150642519068224999999999986,2.679323245687192950555957248,37.500,1.143679433651540724118125904,8.222126048632217137139755944,19.07816890344254011642857143,0.935079137120080505496444,4.283831238938107719043063,3.348752101818027213546619,0,0,0.7870370370370370370370370370,11.01851851851851851851851852,2.763125063117645064602192680,0.02741644535996663616707722060,18510.89873217202612412748274,37.45020568190421890949540507,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-09-28T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,2025-09-28T00:00:00+00:00,2025-12-26T23:59:59.999000+00:00,f39c7a3fdeffb86306cf1254477317805b9d38d3a5674f86a63ce31d48798347,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,BASE_COST,CONSOLIDATED,,33,,,,,,,,,78.05298958454993225928571429,,,-4.420522879480047026784950,,,,,,,,,,,,,,,,,4,100,1.698118321920676969641966300,1.43898946456646174536418800,True
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,HIGH_COST,1,1,10,0,10,2.750215987993451479619527400,3.153769340115953542857142846,5.201498367539731997512761877,50.0,1.487817151019142149066283186,27.50215987993451479619527288,44.06675859190397472571428572,0.140290601716703680000000,3.851713981370472081952730,3.711423379653768401952730,0,0,0,9.398148148148148148148148148,2.189849481877442010019327662,0.02185313396020652124493126864,18000.54077648445557683807279,23.83177645555116695799018815,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-01-02T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,2025-01-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,c481a30cfd29774c5ac3c88865d80f80a9d0df7789efd24cc898cf4b4a7dd872,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,HIGH_COST,2,1,10,6,4,0.633206415084997028265075300,1.150115722689623457142857137,3.156296645976049017870182310,40.0,1.103385829837943627596882634,6.33206415084997028265075284,47.50362318180783303142857142,4.397720079953910212354143,0.210412501299100356004529,-4.187307578654809856349614,0,0,5.833333333333333333333333333,3.657407407407407407407407407,2.271296934935638397614060625,0.02265297755386801966988779729,17604.88365022014254970483129,27.38635101846603635718963251,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-04-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,2025-04-01T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,0ee8c2a5fc594ceb05315602958b73e3205db92dfdd4766ea8b2c34ce13051d2,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,HIGH_COST,3,1,5,5,0,1.335715861409151609464546500,1.663125578832379628571428574,1.576656787778008836424953613,60.0,1.818501135229839475073301665,26.71431722818303218929092852,25.49005795200764932285714286,7.250913790315152587831072,0,-7.250913790315152587831072,0,0,12.36111111111111111111111111,0,3.088605220339709299118209491,0.03099706206052705360332235942,2.00E+4,36.50932011333742522844766078,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-06-30T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,2025-06-30T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,fe37378d111ea376ca5028a72626f352a4050859db839351a331073f39b98ed7,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,HIGH_COST,4,1,8,1,7,0.224859203342598176603410100,0.5701213010730775999999999983,2.804308482936713619942914248,37.500,1.046829143285197190282993378,2.810740041782477207542624396,37.80971853730513924571428571,0.927192441844958925109908,4.210701206102155831165189,3.283508764257196906055281,0,0,0.7870370370370370370370370370,11.01851851851851851851851852,2.723352250223546025506181197,0.02703796445834718393338123495,18483.92221950063573256650081,37.14425886822481854819666710,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-09-28T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,2025-09-28T00:00:00+00:00,2025-12-26T23:59:59.999000+00:00,f39c7a3fdeffb86306cf1254477317805b9d38d3a5674f86a63ce31d48798347,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,HIGH_COST,CONSOLIDATED,,33,,,,,,,,,154.8701582630245963257142857,,,-4.443289225058997136172675,,,,,,,,,,,,,,,,,4,100,1.235999366957549573488139825,0.984461138247074318864810900,True
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,STRESS_COST,1,1,10,0,10,1.753580250084920532262276700,2.580844066748837142857142848,5.567388977905669257634575224,50.0,1.292311821444445084892183156,17.53580250084920532262276644,86.43339180988851113142857142,0.135814927290016750000000,3.842825070786866821941951,3.707010143496850071941951,0,0,0,9.398148148148148148148148148,2.170975570283692123156407753,0.02169322640868617968683761502,17947.26543391778399882127597,24.55134328918806025962192908,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-01-02T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,2025-01-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,c481a30cfd29774c5ac3c88865d80f80a9d0df7789efd24cc898cf4b4a7dd872,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,STRESS_COST,2,1,10,6,4,-0.5399217191014905797230209900,0.4355545180480045142857142810,3.493606109966564985442159113,40.0,0.9193231335645455829866398205,-5.39921719101490579723021111,93.42365388103174917714285714,4.326987890872624654605189,0.203018056954864430874507,-4.123969833917760223730682,0,0,5.833333333333333333333333333,3.657407407407407407407407407,2.241629126536901198191191584,0.02234875219785895887081767266,17552.16300420541372978736007,27.18739427909614026528226305,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-04-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,2025-04-01T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,0ee8c2a5fc594ceb05315602958b73e3205db92dfdd4766ea8b2c34ce13051d2,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,STRESS_COST,3,1,5,5,0,0.725809529316169001035628500,1.305930826565276400000000003,1.691873302984021807792203555,60.0,1.389362462282639671789302066,14.51619058632338002071257127,50.78508618464367191999999999,7.227043540267067976437144,0,-7.227043540267067976437144,0,0,12.36111111111111111111111111,0,3.090458868177016507731077309,0.03097236533166923161282544398,2.00E+4,36.94817326710759696149268537,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-06-30T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,2025-06-30T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,fe37378d111ea376ca5028a72626f352a4050859db839351a331073f39b98ed7,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,STRESS_COST,4,1,8,1,7,-0.6183779552483365202223152300,0.09299569373825485714285714170,3.092521457752202809357299577,37.500,0.8819048284981247097109547518,-7.729724440604206502778938938,74.29725369074523284571428571,0.911945946268236379926104,4.071834738354331489123164,3.159888792086095109197060,0,0,0.7870370370370370370370370370,11.01851851851851851851851852,2.647525867544672389318066595,0.02631642547995924718595610252,18429.96919415785494944453696,36.58765540451683882918410395,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-09-28T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,2025-09-28T00:00:00+00:00,2025-12-26T23:59:59.999000+00:00,f39c7a3fdeffb86306cf1254477317805b9d38d3a5674f86a63ce31d48798347,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,STRESS_COST,CONSOLIDATED,,33,,,,,,,,,304.9393855663091650742857143,,,-4.484114438601883019028815,,,,,,,,,,,,,,,,,4,50.0,0.330272526262815608338142245,0.0929439051073392106563037550,True
