side,horizon_ms,notional,regime,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
LONG,3000,100,MEDIUM,373,100.0,-10.267604573254204,-10.052664580106015,0.0,-11.053480332223112,-9.842150148189873,-9.138195114691516,-12.8816356713179,10.060258838283357,7.677541430963269e-05
LONG,3000,1000,EXTREME,1782,99.43883277216611,-10.02810133536528,-10.05268567814032,0.0,-10.78964000737366,-9.261795412504338,-7.946531969935706,-12.480092016534504,10.047116469776467,0.0010299888795239282
LONG,3000,1000,HIGH,1805,99.83379501385042,-10.060919621999075,-10.052677070322176,0.0,-10.737425739742612,-9.315169211470856,-8.198375050113889,-12.753924398303472,10.055338947720378,8.021043139989657e-05
LONG,3000,1000,LOW,3232,100.0,-10.059326397209295,-10.052673461429007,0.0,-10.627049413094428,-9.525806400598837,-8.132759040517707,-12.038243817977452,10.05209847846939,4.0351389267080985e-05
LONG,3000,1000,MEDIUM,373,100.0,-10.267962927376177,-10.052664580106015,0.0,-11.053480332223112,-9.842150148189873,-9.13841442057166,-12.881854949490707,10.060617371769919,0.0004353089008714751
LONG,3000,500,EXTREME,1782,99.43883277216611,-10.027746570027897,-10.05268567814032,0.0,-10.78964000737366,-9.261795412504338,-7.946139025779514,-12.479785609480684,10.046761521001232,0.000675040104288726
LONG,3000,500,HIGH,1805,99.83379501385042,-10.060912078622728,-10.052677070322176,0.0,-10.737425739742612,-9.315169211470856,-8.198373220831137,-12.753924398303472,10.055331400340544,7.266305156543829e-05
LONG,3000,500,LOW,3232,100.0,-10.059317800047554,-10.052673461429007,0.0,-10.627049413094428,-9.525806400598837,-8.132759040517707,-12.03823738709508,10.052089874126207,3.174704608290563e-05
LONG,3000,500,MEDIUM,373,100.0,-10.267833770026483,-10.052664580106015,0.0,-11.053480332223112,-9.842150148189873,-9.138351415290794,-12.881791952169996,10.060488148102817,0.00030608523377016544
LONG,5000,100,EXTREME,1782,99.04601571268238,-10.040542125678506,-10.052688177711241,0.0,-10.980112438901616,-8.997439552317601,-7.945634656899858,-12.479387201715184,10.055792736897182,0.00016285869176296705
LONG,5000,100,HIGH,1805,99.83379501385042,-10.070135953114061,-10.052675959840839,0.0,-11.106055256654143,-9.156765124843236,-8.19835858656913,-12.753924398303472,10.057350490188174,-9.006827267385013e-25
LONG,5000,100,LOW,3232,100.0,-10.054472365329524,-10.052670963254164,0.0,-11.001909856866252,-9.104300978908915,-8.132759040517707,-12.038216643358737,10.054801004449248,5.4625910974792786e-06
LONG,5000,100,MEDIUM,373,100.0,-10.38290141673222,-10.052712074466683,0.0,-11.315387733400716,-9.684280351887631,-9.138195114691516,-12.8816356713179,10.044203352269719,-2.398795837115871e-25
LONG,5000,1000,EXTREME,1782,99.04601571268238,-10.041415607669258,-10.052688177711241,0.0,-10.980112438901616,-8.997439552317601,-7.946531969935706,-12.480092016534504,10.056666703380131,0.0010368251747104565
