horizon_ms,notional,context,long_samples,short_samples,long_mean_net_bps,short_mean_net_bps,both_weak_or_negative,strategy_threshold_created
30000,1000,SPREAD_HIGH|VOL_MID,395,395,-9.69205894595067,-10.413882300249666,True,False
30000,1000,SPREAD_LOW|VOL_HIGH,704,704,-10.534461023803367,-9.57084176376572,True,False
30000,1000,SPREAD_LOW|VOL_LOW,1213,1213,-10.667322699986471,-9.437538586174949,True,False
30000,1000,SPREAD_LOW|VOL_MID,598,598,-10.375438609475424,-9.729840282480355,True,False
30000,1000,SPREAD_MID|VOL_HIGH,723,723,-10.481593565543216,-9.624395138889847,True,False
30000,1000,SPREAD_MID|VOL_LOW,960,960,-9.744547248871083,-10.361233820373787,True,False
30000,1000,SPREAD_MID|VOL_MID,548,548,-11.167901908294365,-8.936990234370834,True,False
30000,500,SPREAD_HIGH|VOL_HIGH,927,927,-9.842152860112359,-10.265402063111278,True,False
30000,500,SPREAD_HIGH|VOL_LOW,1003,1003,-9.457553835753819,-10.648567702399555,True,False
30000,500,SPREAD_HIGH|VOL_MID,395,395,-9.69205894595067,-10.413835549216461,True,False
30000,500,SPREAD_LOW|VOL_HIGH,704,704,-10.534325225875447,-9.570808674332627,True,False
30000,500,SPREAD_LOW|VOL_LOW,1213,1213,-10.667293860408634,-9.437538586174949,True,False
30000,500,SPREAD_LOW|VOL_MID,598,598,-10.375399329844525,-9.729798960505983,True,False
30000,500,SPREAD_MID|VOL_HIGH,723,723,-10.481343006145147,-9.623914104732012,True,False
30000,500,SPREAD_MID|VOL_LOW,960,960,-9.744547248871083,-10.361230381421432,True,False
30000,500,SPREAD_MID|VOL_MID,548,548,-11.167832417692834,-8.936978367095026,True,False
60000,100,SPREAD_HIGH|VOL_HIGH,927,927,-9.712872378353008,-10.393400254931946,True,False
60000,100,SPREAD_HIGH|VOL_LOW,1003,1003,-9.300725236853621,-10.805648805775151,True,False
60000,100,SPREAD_HIGH|VOL_MID,395,395,-9.73229254163594,-10.373561491294955,True,False
60000,100,SPREAD_LOW|VOL_HIGH,704,704,-11.199768804611784,-8.904438930752143,True,False
60000,100,SPREAD_LOW|VOL_LOW,1213,1213,-10.789157975439679,-9.315459568499382,True,False
60000,100,SPREAD_LOW|VOL_MID,598,598,-10.946086934564503,-9.158394265949473,True,False
60000,100,SPREAD_MID|VOL_HIGH,716,716,-10.780851736157654,-9.32392373261278,True,False
60000,100,SPREAD_MID|VOL_LOW,867,867,-10.010150692185265,-10.095330130215505,True,False
60000,100,SPREAD_MID|VOL_MID,528,528,-11.520250867927606,-8.583693276723059,True,False
60000,1000,SPREAD_HIGH|VOL_HIGH,927,927,-9.713695477141302,-10.393989925254049,True,False
60000,1000,SPREAD_HIGH|VOL_LOW,1003,1003,-9.300987022746042,-10.805648805775151,True,False
60000,1000,SPREAD_HIGH|VOL_MID,395,395,-9.732339075415725,-10.373608237144516,True,False
60000,1000,SPREAD_LOW|VOL_HIGH,704,704,-11.200128159541842,-8.904472030466763,True,False
60000,1000,SPREAD_LOW|VOL_LOW,1213,1213,-10.789200777050638,-9.315527045374303,True,False
60000,1000,SPREAD_LOW|VOL_MID,598,598,-10.946223657294851,-9.158481147493307,True,False
60000,1000,SPREAD_MID|VOL_HIGH,716,716,-10.781186532624998,-9.32402909192321,True,False
60000,1000,SPREAD_MID|VOL_LOW,867,867,-10.01030092086882,-10.095761753313322,True,False
60000,1000,SPREAD_MID|VOL_MID,528,528,-11.520250867927606,-8.583693276723059,True,False
60000,500,SPREAD_HIGH|VOL_HIGH,927,927,-9.713380044101969,-10.393789327781477,True,False
60000,500,SPREAD_HIGH|VOL_LOW,1003,1003,-9.300922947291914,-10.805648805775151,True,False
60000,500,SPREAD_HIGH|VOL_MID,395,395,-9.73229254163594,-10.373561491294955,True,False
60000,500,SPREAD_LOW|VOL_HIGH,704,704,-11.200025429611545,-8.904438930752143,True,False
60000,500,SPREAD_LOW|VOL_LOW,1213,1213,-10.789180424548565,-9.315507662182299,True,False
60000,500,SPREAD_LOW|VOL_MID,598,598,-10.94618437766395,-9.158439827911886,True,False
60000,500,SPREAD_MID|VOL_HIGH,716,716,-10.780933510519041,-9.324014700931675,True,False
60000,500,SPREAD_MID|VOL_LOW,867,867,-10.010268873070666,-10.095368674292224,True,False
60000,500,SPREAD_MID|VOL_MID,528,528,-11.520250867927606,-8.583693276723059,True,False
