partition,feature_left,feature_right,left_bin,right_bin,horizon_ms,notional,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,60000,500,874,96.79633867276888,-9.811536518382528,-10.0527556314857,0.4728132387706856,-13.992100539317413,-5.53947085626031,-7.784691207497513,-12.107550545614659,10.037796142781769,9.018881289878325e-05
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,LOW,HIGH,1000,100,512,99.8046875,-10.012177852802239,-10.052724494097808,0.0,-10.052805193434317,-10.0,-7.893356874449142,-11.758854370897932,10.050224575448201,-1.0309947082576421e-24
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,LOW,HIGH,1000,1000,512,99.8046875,-10.012292572371846,-10.052724494097808,0.0,-10.052805193434317,-10.0,-7.893356874449142,-11.758854370897932,10.050339222251056,0.00011464680285412238
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,LOW,HIGH,1000,500,512,99.8046875,-10.012177852802239,-10.052724494097808,0.0,-10.052805193434317,-10.0,-7.893356874449142,-11.758854370897932,10.050224575448201,0.0
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,LOW,HIGH,15000,100,512,98.046875,-9.947217766575983,-10.052720326702675,0.0,-11.678972950046541,-8.261832061068702,-7.893356874449142,-11.758854370897932,10.060992341331355,-3.77810005157977e-25
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,LOW,HIGH,15000,1000,512,98.046875,-9.947217766575983,-10.052720326702675,0.0,-11.678972950046541,-8.261832061068702,-7.893356874449142,-11.758854370897932,10.060992341331355,-3.77810005157977e-25
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,LOW,HIGH,15000,500,512,98.046875,-9.947217766575983,-10.052720326702675,0.0,-11.678972950046541,-8.261832061068702,-7.893356874449142,-11.758854370897932,10.060992341331355,0.0
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,LOW,HIGH,250,100,512,99.8046875,-10.037461541799626,-10.052726439107682,0.0,-10.05279209780653,-10.052670923860113,-7.893356874449142,-11.758854370897932,10.050432326260974,-1.1031954328570021e-24
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,LOW,HIGH,250,1000,512,99.8046875,-10.037461541799626,-10.052726439107682,0.0,-10.05279209780653,-10.052670923860113,-7.893356874449142,-11.758854370897932,10.050432326260974,-1.1031954328570021e-24
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,LOW,HIGH,250,500,512,99.8046875,-10.037461541799626,-10.052726439107682,0.0,-10.05279209780653,-10.052670923860113,-7.893356874449142,-11.758854370897932,10.050432326260974,0.0
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,LOW,HIGH,3000,100,512,99.0234375,-9.929723135299731,-10.052722271405084,0.0,-10.421593489759935,-9.166893945499304,-7.893356874449142,-11.758854370897932,10.054363936884414,-8.416273008245196e-25
