side,horizon_ms,notional,regime,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
LONG,3000,1000,TIGHT_DEEP,2429,99.46480032935365,-10.111654196819625,-10.052670963254164,0.0,-10.684585434217944,-9.683885931158084,-8.632255454372432,-12.200598771105346,10.05353946641627,0.00020938174399129107
LONG,3000,1000,TIGHT_THIN,2420,100.0,-10.060370059744205,-10.05265348266307,0.0,-10.737751158585128,-9.421156265959072,-8.422770243768955,-12.472960484402298,10.05268517068046,0.00019896925989435385
LONG,3000,1000,WIDE_DEEP,1167,100.0,-9.998257220015939,-10.052728759462953,0.0,-10.686121789455898,-9.208893321302497,-6.682012971328943,-12.117517458020926,10.052966022896566,0.0005210041137799961
LONG,3000,1000,WIDE_THIN,1176,100.0,-10.031843157266646,-10.052733210579353,0.0,-10.897070391899097,-9.103535420150997,-8.081772948962016,-12.76477758661509,10.04723037218585,0.0005672463425397357
LONG,3000,500,TIGHT_DEEP,2429,99.46480032935365,-10.111563424434907,-10.052670963254164,0.0,-10.684585434217944,-9.683885931158084,-8.632116031909902,-12.200519887613055,10.053448645920522,0.00011856124824437577
LONG,3000,500,TIGHT_THIN,2420,100.0,-10.060318911831446,-10.05265348266307,0.0,-10.737751158585128,-9.421156265959072,-8.422730630555938,-12.4729165531556,10.052633997817319,0.00014779639675379736
LONG,3000,500,WIDE_DEEP,1167,100.0,-9.998074336040252,-10.052728759462953,0.0,-10.686121789455898,-9.208893321302497,-6.681829924485879,-12.117334527403973,10.052783030790703,0.0003380120079182246
LONG,3000,500,WIDE_THIN,1176,100.0,-10.031705666254553,-10.052733210579353,0.0,-10.897070391899097,-9.103535420150997,-8.08170574649449,-12.76471042911842,10.047092815349869,0.0004296895065591797
LONG,5000,100,TIGHT_DEEP,2429,99.1766158913133,-10.134189946351887,-10.052670963254164,0.0,-11.000321316449295,-9.262645371048569,-8.632003434447247,-12.200468157720278,10.057241528081226,1.6789002073057368e-05
LONG,5000,100,TIGHT_THIN,2420,100.0,-10.092501337478076,-10.052649599662875,0.0,-11.111455410502845,-9.309844802405669,-8.422631837122214,-12.472817792467232,10.054351606690236,1.4183579679826943e-05
LONG,5000,100,WIDE_DEEP,1167,100.0,-9.919727269929462,-10.052727368643174,0.0,-11.181554855709503,-8.418662785178622,-6.681547173155196,-12.117051969087681,10.050580423549325,5.533925485859827e-05
LONG,5000,100,WIDE_THIN,1176,100.0,-10.053894737290749,-10.052733210579353,0.0,-11.001909856866252,-8.838852423523944,-8.081585807613633,-12.764590571506872,10.056948449914184,0.0001409445630523208
LONG,5000,1000,TIGHT_DEEP,2429,99.1766158913133,-10.134289473459402,-10.052670963254164,0.0,-11.000321316449295,-9.262645371048569,-8.632255454372432,-12.200598771105346,10.057341103653027,0.00011636457387433721
LONG,5000,1000,TIGHT_THIN,2420,100.0,-10.092681217974786,-10.052649599662875,0.0,-11.111455410502845,-9.309844802405669,-8.422770243768955,-12.472960484402298,10.054531575885186,0.00019415277462785124
LONG,5000,1000,WIDE_DEEP,1167,100.0,-9.920192648758592,-10.052727368643174,0.0,-11.181554855709503,-8.418662785178622,-6.682012971328943,-12.117517458020926,10.051046088408247,0.0005210041137799961
LONG,5000,1000,WIDE_THIN,1176,100.0,-10.054305110266379,-10.052733210579353,0.0,-11.001909856866252,-8.838852423523944,-8.081772948962016,-12.76477758661509,10.057359053522148,0.0005515481710177044
LONG,5000,500,TIGHT_DEEP,2429,99.1766158913133,-10.134214245052652,-10.052670963254164,0.0,-11.000321316449295,-9.262645371048569,-8.632116031909902,-12.200519887613055,10.05726583873433,4.10996551759661e-05
LONG,5000,500,TIGHT_THIN,2420,100.0,-10.092627751258453,-10.052649599662875,0.0,-11.111455410502845,-9.309844802405669,-8.422730630555938,-12.4729165531556,10.054478082330425,0.00014065921986735486
LONG,5000,500,WIDE_DEEP,1167,100.0,-9.920009764782906,-10.052727368643174,0.0,-11.181554855709503,-8.418662785178622,-6.681829924485879,-12.117334527403973,10.050863096302386,0.0003380120079182246
LONG,5000,500,WIDE_THIN,1176,100.0,-10.054183318721611,-10.052733210579353,0.0,-11.001909856866252,-8.838852423523944,-8.08170574649449,-12.76471042911842,10.05723719485769,0.0004296895065591797
LONG,15000,100,TIGHT_DEEP,2429,98.06504734458625,-10.283642332996887,-10.052670963254164,0.0,-12.107082812887041,-8.629853852154534,-8.632003434447247,-12.200468157720278,10.05281369058405,2.900303113583519e-05
LONG,15000,100,TIGHT_THIN,2420,99.42148760330579,-10.237944120301952,-10.052674016611155,0.0,-11.791020390953985,-8.208771920577275,-8.422631837122214,-12.472817792467232,10.052486524901898,2.330934139446895e-05
