latency_profile,side,horizon_ms,notional,samples,execution_rate_percent,mean_net_bps,positive_percent,mean_cost_bps,mean_depth_slippage_bps
STRESSED,LONG,15000,500,7192,99.15183537263626,-10.116725024006923,0.0,10.052881479261652,5.522296298762508e-05
STRESSED,LONG,30000,500,7192,98.31757508342604,-10.188253387036498,0.0,10.052316594236999,3.4665036533905215e-05
STRESSED,LONG,60000,500,7192,96.64905450500557,-10.382262826621623,0.0,10.052533784276257,4.746648535068015e-05
STRESSED,LONG,250,1000,7192,99.972191323693,-10.052568358294963,0.0,10.05176077606795,0.00011701954302608998
STRESSED,LONG,500,1000,7192,99.95828698553949,-10.053351711942495,0.0,10.052850047434175,0.00011732456013434408
STRESSED,LONG,1000,1000,7192,99.93047830923248,-10.055892551800248,0.0,10.05303457869941,0.00011129990612517414
STRESSED,LONG,3000,1000,7192,99.81924360400446,-10.063118853308339,0.0,10.052417855241728,0.00011835653496402245
STRESSED,LONG,5000,1000,7192,99.70800889877641,-10.070199277531254,0.0,10.053195527784343,0.00011762221468524488
STRESSED,LONG,15000,1000,7192,99.15183537263626,-10.116773901165146,0.0,10.052930387126118,0.00010413082745264816
STRESSED,LONG,30000,1000,7192,98.31757508342604,-10.188294507339723,0.0,10.052357746225862,7.58170253989785e-05
STRESSED,LONG,60000,1000,7192,96.64905450500557,-10.382306143968982,0.0,10.052577133503428,9.081571252386274e-05
STRESSED,SHORT,250,100,7192,99.972191323693,-10.053097968662925,0.0,10.05384662367545,3.4195390448630886e-05
STRESSED,SHORT,500,100,7192,99.95828698553949,-10.052318123217754,0.0,10.052813011615669,4.5508247101673906e-05
STRESSED,SHORT,1000,100,7192,99.93047830923248,-10.04977519394608,0.0,10.052636303029985,5.1976605823855564e-05
STRESSED,SHORT,3000,100,7192,99.81924360400446,-10.042520492437795,0.0,10.05316579353304,2.3719331311701426e-05
STRESSED,SHORT,5000,100,7192,99.70800889877641,-10.035460691344683,0.0,10.052474678353816,5.2096007900558995e-05
STRESSED,SHORT,15000,100,7192,99.15183537263626,-9.988820134063669,0.0,10.052669180104424,3.8795259708868544e-05
STRESSED,SHORT,30000,100,7192,98.31757508342604,-9.917188881784478,0.0,10.05318807649067,4.284452715802592e-05
STRESSED,SHORT,60000,100,7192,96.64905450500557,-9.723072878029356,0.546683930369731,10.053135053961661,4.2005107014576395e-05
STRESSED,SHORT,250,500,7192,99.972191323693,-10.053197336820924,0.0,10.053945941908566,0.000133513623565338
STRESSED,SHORT,500,500,7192,99.95828698553949,-10.052465343807746,0.0,10.052960158082833,0.00019265471426363362
STRESSED,SHORT,1000,500,7192,99.93047830923248,-10.049930182700681,0.0,10.052791211743804,0.00020688531964339034
STRESSED,SHORT,3000,500,7192,99.81924360400446,-10.04258000203048,0.0,10.053225271528959,8.319732723181694e-05
STRESSED,SHORT,5000,500,7192,99.70800889877641,-10.035616042969677,0.0,10.052629934559159,0.0002073522132441245
STRESSED,SHORT,15000,500,7192,99.15183537263626,-9.988951578113664,0.0,10.052800552142163,0.00017016729744630352
STRESSED,SHORT,30000,500,7192,98.31757508342604,-9.917288096001881,0.0,10.053287244077108,0.00014201211359457196
STRESSED,SHORT,60000,500,7192,96.64905450500557,-9.723193388862926,0.546683930369731,10.053255536471665,0.00016248761701870377
STRESSED,SHORT,250,1000,7192,99.972191323693,-10.053284501610921,0.0,10.05403306344371,0.00022063515870857336
STRESSED,SHORT,500,1000,7192,99.95828698553949,-10.052583753616165,0.0,10.053078507573304,0.0003110042047349226
