configuration,regime,period,candle_count,signal_count,entry_count,long_entries,short_entries,net_pnl,mean_trade_pnl,median_trade_pnl,win_rate_percent,expectancy,maximum_drawdown_percent,exposure_percent,fees,funding,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_DOWN,2023,12,2,1,0,1,-88.51061244683487756896629447,-88.51061244683487756896629447,-88.51061244683487756896629447,0,-88.51061244683487756896629447,0.8851061244683487756896629400,41.66666666666666666666666667,2.514413326106231044285714286,0.057156366915042046747992,0,0,0,-88.51061244683487756896629447,-88.51061244683487756896629447,-88.51061244683487756896629447,
FUTURES_LONG_SHORT_BASELINE_1X,RANGING,2023,8703,0,2,1,1,-118.5960121142872128414285725,-59.29800605714360642071428625,-59.29800605714360642071428625,0,-59.29800605714360642071428625,1.185960121142872128414285730,0.5630242445133861886705733655,4.940968920597828501428571428,-0.514288754542924340000000,0,0,0,-118.5960121142872128414285725,-118.5960121142872128414285725,-118.5960121142872128414285725,
FUTURES_LONG_SHORT_BASELINE_1X,UNKNOWN,2023,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,HIGH_VOLATILITY,2023,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_UP,2024,80,4,4,4,0,130.4185307231208659829786836,32.6046326807802164957446709,30.87760580393142734676247054,50.0,32.6046326807802164957446709,1.019616930823561782914285720,78.7500,9.171801754213158370714285716,-5.539788249443037074878459,59.15131411445933558632520374,100,100,-40.2064814744933235979036305,-158.0366198546842877030284071,-158.0366198546842877030284071,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_DOWN,2024,121,19,18,0,18,-629.9691337087240300040800344,-34.99828520604022388911555747,-83.9891068481304602551000000,22.22222222222222222222222222,-34.99828520604022388911555747,6.891233747771303134278194070,66.11570247933884297520661157,38.78668782454477688000000000,5.503996378164346875919965,30.80013605662438966258951861,78.37447044542530695332593549,100,-807.6384295858446041755086062,-1082.068986552913826606937178,-1206.814948774232676123027178,
FUTURES_LONG_SHORT_BASELINE_1X,RANGING,2024,8577,0,1,0,1,-53.83846419426637319058135043,-53.83846419426637319058135043,-53.83846419426637319058135043,0,-53.83846419426637319058135043,0.538384641942663731905813500,3.416112859974350005829544130,2.328681890574707762142857142,0.311400590783138857275792,0,0,0,-53.83846419426637319058135043,-53.83846419426637319058135043,-53.83846419426637319058135043,
FUTURES_LONG_SHORT_BASELINE_1X,UNKNOWN,2024,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,HIGH_VOLATILITY,2024,6,0,0,0,0,0,,,,,0,100,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_UP,2025,164,12,12,12,0,307.9661083542407644563552706,25.66384236285339703802960588,11.22445139058036720895172909,50.0,25.66384236285339703802960588,1.654895729324230805824320729,78.04878048780487804878048780,28.96683660389889189000000000,-11.192405938236723653644730,23.27317918865212125157086856,61.74830561071727318201537745,89.23445178251103018205141643,123.9254609278713225403552703,-180.3297987051115065757753161,-397.6859276511422228710462102,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_DOWN,2025,159,21,20,0,20,141.1185482262171128645913366,7.05592741131085564322956683,-93.08569464231168103085714305,40.0,7.05592741131085564322956683,5.728668105864770625716889629,79.24528301886792452830188679,43.82898531891250935071428573,6.905087856475503643877053,14.67729812944070341613480345,42.43389412464735764370606360,68.80620925180585555815875200,-49.8232295479306639214814311,-410.9178763652947344360334488,-754.0039600566110565231763058,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_BASELINE_1X,RANGING,2025,8424,0,0,0,0,0,,,,,0,8.024691358024691358024691358,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,UNKNOWN,2025,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,HIGH_VOLATILITY,2025,13,0,1,0,1,187.7294464897112692114285712,187.7294464897112692114285712,187.7294464897112692114285712,100,187.7294464897112692114285712,0,0,1.078710059080867931428571429,0,100,100,100,0E-25,0E-25,0E-25,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,TRENDING_UP,ALL,440,54,47,47,0,347.3823639499546074167883928,7.391114126594778881208263677,0.957436883830549094900000,51.06382978723404255319148936,7.391114126594778881208263677,2.702600449830766454346149099,59.09090909090909090909090909,109.5191829301539299542857143,-12.548169159177511200354465,12.65393281493741997638602956,32.63953029736220597095543110,49.57542092338790824852235339,181.8788286383118990000569639,-79.5171410599139998250197161,-301.0253324855712206697761443,RESULT_DEPENDS_ON_FEW_TRADES
