configuration,period_type,period,with_funding_net_pnl,without_funding_net_pnl,difference,pnl_explained_percent,long_effect,short_effect,warning,diagnostic_only
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2024-Q4,-46.00003781812142683810783782,-44.88298608446400902571428511,-1.11705173365741781239355271,2.428371337593471014699842633,-2.139761332290934941475059,0.959571159279355629795792,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2025-Q1,298.4815545731945707809977187,295.3692571024959891364285704,3.1122974706985816445691483,1.042710151770994754883749041,0,3.403809069627772068140577,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2025-Q2,116.9279433242565472423296449,120.9968488973188761407142853,-4.0689055730623288983846404,3.479840196777188859607526088,-3.750418957896532685664796,-0.243453133016233943434130,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2025-Q3,157.3519630572267806684486376,164.5103373582567165342857145,-7.1583743010299358658370769,4.549275498028920017080811644,-6.958218520375240207979934,0,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2025-Q4,64.05264211549124784059917735,60.99555590686109456571428563,3.05708620863015327488489172,4.772771438714456124594904488,-0.483768459964950760000000,3.744731919863965519170606,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,YEAR,2022,-555.5827394811253011811893178,-548.2951374955185078321428570,-7.2876019856067933490464608,1.311704174325662894598293601,-3.403532875018265651747010,-3.885973308160589064442308,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,YEAR,2023,-90.88002788502822494444285771,-89.88581976908646144214285770,-0.99420811594176350230000001,1.093978665146901354771239880,-0.950914451068713840300000,-0.119936653205643712000000,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,YEAR,2024,-454.8945359464863651306146281,-454.3096235437080496092857133,-0.5849124027783155213289148,0.1285819803399714638022981249,-3.189354682792552456189015,2.176558939968223504860100,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,YEAR,2025,997.185016327218653233964999,1003.246800879539739432857142,-6.061784552321086198892143,0.6078896546848993023460768773,-5.994605985630208815618440,0.963980079580159287440583,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q1,-145.0711949224481465478745813,-146.2755929714568750985714281,1.2043980490087285506968468,0.8302117106380581754174267408,-0.609692117093961513520000,1.850371265018478248502561,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q2,-324.7096579386769974851318432,-321.6956178727058427428571442,-3.0140400659711547422746990,0.9282261836943485395944856903,-0.764678397521610314490859,-2.224727142810755384926697,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q3,43.16365999299865781333814652,46.61990665068988770428571555,-3.45624665769122989094756903,8.007306744265543830271233543,-1.864618533961792095236151,-1.565949237447724705711418,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q4,-128.9655466129988149615210400,-126.9438333020456776950000002,-2.0217133109531372665210398,1.567638306547031580438452694,-0.164543826440901728500000,-1.945668192920587222306754,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q1,-25.84543104481368722730000020,-24.90157778755436485714285733,-0.94385325725932237015714287,3.651915325469962015317907724,-0.950914451068713840300000,-0.012059386137326592000000,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q2,0,0,0,,0,0,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q3,2.941425267133413500000000,3.051967508151299325,-0.110542241017885825000000,3.758118292279971356216988001,0,-0.107877267068317120000000,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q4,-67.97602210734795121714285751,-68.03620948968339591000000037,0.06018738233544469285714286,0.08854207773499394601751901764,0,0,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q1,-242.9903187871563064984628572,-243.5260561196635447135714286,0.5357373325072382151085714,0.2204768219496469841915832848,-0.447542763446201515960000,0.763209766978789629640000,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q2,-98.5063581782087373187575119,-98.0273673357694233749999998,-0.4789908424393139437575121,0.4862537315335191954069467415,-1.115188046779156166949144,0.555155858625727598191632,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q3,75.96808049679405970293846894,75.69100158744087918000000082,0.27707890935318052293846812,0.3647306968153204441218227127,0,0.339456407188957827938468,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q4,-189.3659394779153810163327280,-188.4472016757159607007142856,-0.9187378021994203156184424,0.4851652861820840914808624237,-1.626623872567194773279871,0.518736907174748449090000,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q1,457.2143137194352402598744673,457.1730407629984994999999990,0.0412729564367407598744683,0.009027048191248770908749537029,0,0.473399821054490960588754,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q2,523.2513390008501194864111944,526.4467959224252499299999994,-3.1954569215751304435888050,0.6106925455129965424240105889,-2.558585886040672357974872,-0.080302247574518610613933,,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q3,-12.66993951017890418621499615,-9.49532242543788235499999961,-3.17461708474102183121499654,25.05629235396558791687146818,-3.188973589338616457643568,0,,True
