configuration,period_type,period,side,trades,net_pnl,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q1,LONG,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q1,SHORT,10,457.2143137194352402598744673,25.45839830365986985445124449,73.92689894104737641929757014,98.22610264976570773090912990,276.9405972636680655227316104,-66.2701827988176075053852530,-238.3355149236857255247455350,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q2,ALL,13,523.2513390008501194864111944,23.24614146282880297627806588,63.10162221953710544091032965,88.08691875558041233668537195,344.4327467363303080696969089,37.8484916961404682378888002,-154.3483750841393868280826280,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q2,LONG,8,398.5461859485281207941679849,33.18159570827015550712324876,82.49520979563023910439645054,100,233.0426506368854123774365560,-12.9243469182663909412115520,-100.2349358719415741036115520,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q2,SHORT,5,124.7051530523219986922432095,66.11676730281184914790442439,100,100,-54.1134392121978127244710760,-145.7536118862882393484710760,-145.7536118862882393484710760,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q3,ALL,10,-12.66993951017890418621499615,54.04891468353645376461970290,85.28321634749053288535254970,99.56989305626618634329782274,-132.9851894798576715962149964,-202.5141122034749346519749964,-234.3168799281692591640949964,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q3,LONG,10,-12.66993951017890418621499615,54.04891468353645376461970290,85.28321634749053288535254970,99.56989305626618634329782274,-132.9851894798576715962149964,-202.5141122034749346519749964,-234.3168799281692591640949964,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q3,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q4,ALL,9,29.38930311711219767389433360,45.12971154347602898361153939,100,100,-138.6996860208874708003913809,-343.0681830692773249541420987,-343.0681830692773249541420987,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q4,LONG,1,-30.842791902134812850000000,0,0,0,-30.842791902134812850000000,-30.842791902134812850000000,-30.842791902134812850000000,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q4,SHORT,8,60.23209501924701052389433360,45.12971154347602898361153939,100,100,-107.8568941187526579503913809,-312.2253911671425121041420987,-312.2253911671425121041420987,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2022,ALL,55,-351.7565037263877354883935520,8.812170214512619676381211167,25.93169642661903272005720505,42.71422321994189377524680299,-545.7598553088718439083935522,-922.6528773232591481978751388,-1292.126726178952059921956419,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2022,LONG,16,-162.9590108021615964820458014,38.69475775674680251537530204,91.30931553408318235921983424,100,-346.7580366129582933739053759,-596.6757263355191761581258510,-637.9562364373306708374553230,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2022,SHORT,39,-188.7974929242261390063477505,11.23652901544688824868671841,33.06589094677182362416563940,54.46553991804591270025885037,-382.8008445067102474263477507,-759.6938665210975517158293373,-1129.167715376790463439910618,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2023,ALL,6,-226.3178874203505582686425544,100,100,100,-333.5353682517325808300996979,-333.5353682517325808300996979,-333.5353682517325808300996979,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2023,LONG,4,-89.87444991276414891854285766,100,100,100,-197.0919307441461714800000012,-197.0919307441461714800000012,-197.0919307441461714800000012,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2023,SHORT,2,-136.4434375075864093500996968,0,0,0,-136.4434375075864093500996968,-136.4434375075864093500996968,-136.4434375075864093500996968,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2024,ALL,25,-344.5855337893695060503330887,19.56626618578888160874489616,49.58179031488215664014040526,76.32930872982847550339006720,-521.7341011507841792389045176,-793.4878965648920014431902323,-1035.653904258390886823926464,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2024,LONG,6,227.7173316908236596190813787,35.62811314962359193376808443,93.50185588814029361191144077,100,109.1029875863285133987751467,-83.5722744173785741643478859,-105.2061200967103006159478859,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2024,SHORT,19,-572.3028654801931656694144674,30.94546622135387522052482824,78.41719021986077614587518062,100,-749.4514328416078388579858963,-1021.205228255715661062271611,-1144.756891844719400222701611,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2025,ALL,36,683.3613305206798702237495369,9.745181040456064848583675755,28.51924791728617178813820871,46.51427625645072724849854896,499.9265114911192481437495372,146.5397918700508441356300588,-192.1829833275647276072270840,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2025,LONG,14,354.4430858079461025226396791,26.76021671371367177842408345,69.06689172340376654120072530,90.52360013762877004868313849,192.2910759915598089072796788,-64.0638128668090448448286338,-194.0795160515952305534000620,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,YEAR,2025,SHORT,22,328.9182447127337677011098578,14.37161583322852288598025828,42.05849775579521909956801531,68.59649978212086293594298356,145.4834256831731456211098581,-207.9032939378952583870096203,-546.6260691355108301298667631,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q1,ALL,13,-148.1467480260082920355106334,39.43328149705567635669837747,100,100,-342.1500996084924004555106336,-640.1254630030247344664551542,-640.1254630030247344664551542,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q1,LONG,2,-47.227852443298283602580000,0,0,0,-47.227852443298283602580000,-47.227852443298283602580000,-47.227852443298283602580000,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q1,SHORT,11,-100.9188955827100084329306333,39.43328149705567635669837747,100,100,-294.9222471651941168529306335,-592.8976105597264508638751541,-592.8976105597264508638751541,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q2,ALL,20,-217.1525225895379186682980059,22.26905708719024788366935969,62.76656068596996280781815973,92.72329344016772600004376963,-403.0390065188414406272980059,-741.0837886763108238973275326,-991.1416020756397764252391673,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q2,LONG,4,-181.9406816465654575156644843,100,100,100,-202.3355463834266300007439563,-202.3355463834266300007439563,-202.3355463834266300007439563,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q2,SHORT,16,-35.21184094297246115263352161,22.82678133148855720889453406,64.33853710548002807884735291,95.04553045991631732651316484,-221.0983248722759831116335216,-559.1431070297453663816630483,-809.2009204290743189095746830,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q3,ALL,15,184.7460219964107909450768821,27.47928267116679229529894577,78.21146941870309089813295078,95.17171589125952797299560534,0.9469961856140940532173076,-338.3823310399664793619974530,-451.8233118861565283190392470,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q3,LONG,8,116.7773554900773049855201110,42.37766708732270034640662889,100,100,-67.0216703207193919063394635,-316.9393600432802746905599386,-316.9393600432802746905599386,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q3,SHORT,7,67.96866650633348595955677112,66.93217448106159110358132383,96.82813779877232806733267244,100,-89.42051585391880801615751438,-159.7200580237006943644554404,-167.1786054604325808586580324,RESULT_DEPENDS_ON_FEW_TRADES
