configuration,dimension,period,side,trades,gross_pnl,fees,funding,net_pnl
FUTURES_LONG_SHORT_BASELINE_1X,YEAR,2022,SHORT,39,365.2198522792392457142857146,85.30169370404941395714285715,-3.298098788390628581137797,276.6200597867992031760050602
FUTURES_LONG_SHORT_BASELINE_1X,YEAR,2023,LONG,4,-81.88414088557056571428571490,9.820478372323935607142857142,-0.998567645068360371900000,-92.70318690296286169332857204
FUTURES_LONG_SHORT_BASELINE_1X,YEAR,2023,SHORT,2,-135.2814088321635000000000014,4.999359771231303780000000000,-0.457132387627882293252008,-140.7379009910226860732520094
FUTURES_LONG_SHORT_BASELINE_1X,YEAR,2024,LONG,4,145.1301207267770614285714284,9.171801754213158370714285716,-5.539788249443037074878459,130.4185307231208659829786836
FUTURES_LONG_SHORT_BASELINE_1X,YEAR,2024,SHORT,19,-648.5076251568184042857142846,41.11536971511948464214285714,5.815396968947485733195757,-683.8075979029904031946613848
FUTURES_LONG_SHORT_BASELINE_1X,YEAR,2025,LONG,12,348.1253508963763800000000007,28.96683660389889189000000000,-11.192405938236723653644730,307.9661083542407644563552706
FUTURES_LONG_SHORT_BASELINE_1X,YEAR,2025,SHORT,21,366.8506022374462557142857121,44.90769537799337728214285716,6.905087856475503643877053,328.8479947159283820760199078
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q1,LONG,2,53.08166879011945,5.004026086276086205,-0.609692117093961513520000,47.467950586749402281480000
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q1,SHORT,13,-165.3901013186281442857142852,28.99941545558788279214285714,1.850371265018478248502561,-192.5391455091975488293545813
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q2,LONG,4,-116.2829976141925842857142860,8.617694164401804987857142857,-0.764678397521610314490859,-125.6653701761159995880622878
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q2,SHORT,18,-161.3652233830640357142857155,35.45433723668620679785714286,-2.224727142810755384926697,-199.0442877625609978970695553
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q3,LONG,11,-126.2944659453313685714285707,24.33348068221617790571428571,-1.864618533961792095236151,-152.4925651615093385723790074
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q3,SHORT,10,220.7771856972754971428571434,23.55501130531977605142857143,-1.565949237447724705711418,195.6562251545079963857171540
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q4,LONG,2,-45.25015164432914571428571385,4.768934527363815347142857143,-0.164543826440901728500000,-50.18362999813386278992857099
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q4,SHORT,5,-67.15191592218796142857142925,9.684332499756403520714285714,-1.945668192920587222306754,-78.78191661486495217159246896
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q1,LONG,4,9.03591617806513999999999981,9.422426076961647980000000000,-0.950914451068713840300000,-1.33742434996522182030000020
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q1,SHORT,1,-22.13951929634843,2.356428012362708815,-0.012059386137326592000000,-24.508006694848465407000000
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q3,SHORT,1,5.40124485876580,2.35194232456406938,-0.107877267068317120000000,2.941425267133413500000000
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q4,LONG,1,-65.65347054646390857142857180,2.322551560884042645714285714,0,-67.97602210734795121714285751
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q1,LONG,3,-30.67102047195176285714285689,6.808702143378611668571428572,-0.447542763446201515960000,-37.92726537877657604167428546
