configuration,metric,bucket,post_event_diagnostic_only,trades,long_trades,short_trades,net_pnl,mean_trade_pnl,win_rate_percent
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,return_24h,NEGATIVE,True,90,1,89,140.0430160596878474751440877,1.556033511774309416390489863,40.0
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,return_24h,POSITIVE,True,54,53,1,-244.2153030451090854974258923,-4.522505611946464546248627635,42.59259259259259259259259259
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,return_30d,NEGATIVE,True,76,9,67,-47.16872737999274689080836150,-0.6206411497367466696158994934,36.84210526315789473684210526
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,return_30d,POSITIVE,True,59,45,14,-137.9358667227299259814066334,-2.337896046147964847142485312,45.76271186440677966101694915
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,return_30d,UNKNOWN,True,9,0,9,80.9323071173014348499331903,8.992478568589048316659243367,44.44444444444444444444444444
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,return_7d,NEGATIVE,True,88,4,84,-133.6646956319329763682902853,-1.518916995817420186003298697,37.500
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,return_7d,POSITIVE,True,53,50,3,-32.39793683285227198308374565,-0.6112818270349485279827121821,47.16981132075471698113207547
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,return_7d,UNKNOWN,True,3,0,3,61.8903454793640103290922264,20.63011515978800344303074213,33.33333333333333333333333333
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,directional_persistence,DOWN,True,24,0,24,-139.5574611266533978302963949,-5.814894213610558242929016454,29.16666666666666666666666667
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,directional_persistence,MIXED,True,86,28,58,-491.5618209640112195856980320,-5.715835127488502553322070140,34.88372093023255813953488372
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,directional_persistence,UP,True,12,12,0,391.8206876752366878323747689,32.65172397293639065269789741,66.66666666666666666666666667
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,long_ema_distance_percent,FAR_ABOVE,True,40,40,0,329.3269567838440167411323988,8.23317391959610041852830997,45.00
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,long_ema_distance_percent,FAR_BELOW,True,82,0,82,-568.6255511992719463247520568,-6.934457941454535930789659229,32.92682926829268292682926829
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,long_ema_slope_percent,NEGATIVE,True,82,0,82,-568.6255511992719463247520568,-6.934457941454535930789659229,32.92682926829268292682926829
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,long_ema_slope_percent,POSITIVE,True,40,40,0,329.3269567838440167411323988,8.23317391959610041852830997,45.00
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,return_24h,NEGATIVE,True,82,1,81,-372.0303835196760510754663432,-4.536955896581415257017882234,34.14634146341463414634146341
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,return_24h,POSITIVE,True,40,39,1,132.7317891042481214918466851,3.318294727606203037296167128,42.500
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,return_30d,NEGATIVE,True,71,8,63,-831.6146837419564537651447986,-11.71288286960502047556541970,29.57746478873239436619718310
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,return_30d,POSITIVE,True,44,32,12,386.6198009630071266279120491,8.786813658250161968816182934,47.72727272727272727272727273
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,return_30d,UNKNOWN,True,7,0,7,205.6962883635213975536130925,29.3851840519316282219447275,42.85714285714285714285714286
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,return_7d,NEGATIVE,True,80,3,77,-703.6958671063478074160291002,-8.796198338829347592700363752,33.7500
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,return_7d,POSITIVE,True,40,37,3,289.6162970938916138269278564,7.24040742734729034567319641,42.500
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,return_7d,UNKNOWN,True,2,0,2,174.7809755970282640054815866,87.3904877985141320027407933,50.0
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,directional_persistence,DOWN,True,19,0,19,-202.2793522502161757095194134,-10.64628169737979872155365334,26.31578947368421052631578947
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,directional_persistence,MIXED,True,73,20,53,-730.9213670048842116433948804,-10.01262146582033166634787507,27.39726027397260273972602740
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,directional_persistence,UP,True,12,12,0,1168.567906744645053814258586,97.38065889538708781785488217,66.66666666666666666666666667
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,long_ema_distance_percent,FAR_ABOVE,True,32,32,0,584.1877418102306062724830141,18.25586693156970644601509419,37.500
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,long_ema_distance_percent,FAR_BELOW,True,72,0,72,-348.8205543206859398111387218,-4.844729921120638052932482247,29.16666666666666666666666667
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,long_ema_slope_percent,NEGATIVE,True,72,0,72,-348.8205543206859398111387218,-4.844729921120638052932482247,29.16666666666666666666666667
