market,mode,variant_id,period,removed_rule,rules_removed_count,rejected_resumptions,hypothetically_eligible,signals_executed,diagnostic_only
FUTURES,LONG,PERSISTENCE_2,DEVELOPMENT,pullback_depth_min,1,1,0,0,True
FUTURES,LONG,PERSISTENCE_2,DEVELOPMENT,trend_persistence,1,1,0,0,True
FUTURES,LONG,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,volume_valid,1,1,0,0,True
FUTURES,LONG,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,volatility_valid,1,1,0,0,True
FUTURES,LONG,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,entry_extension_valid,1,1,0,0,True
FUTURES,LONG,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,directional_close_confirmation,1,1,0,0,True
FUTURES,LONG,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,regime_matched,1,1,0,0,True
FUTURES,LONG,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,pullback_depth_min,1,1,0,0,True
FUTURES,LONG,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,trend_persistence,1,1,0,0,True
FUTURES,SHORT,CALIBRATION_BASE,DEVELOPMENT,volume_valid,1,3,0,0,True
FUTURES,SHORT,CALIBRATION_BASE,DEVELOPMENT,volatility_valid,1,3,0,0,True
FUTURES,SHORT,CALIBRATION_BASE,DEVELOPMENT,entry_extension_valid,1,3,0,0,True
FUTURES,SHORT,CALIBRATION_BASE,DEVELOPMENT,directional_close_confirmation,1,3,0,0,True
FUTURES,SHORT,CALIBRATION_BASE,DEVELOPMENT,regime_matched,1,3,0,0,True
FUTURES,SHORT,CALIBRATION_BASE,DEVELOPMENT,pullback_depth_min,1,3,0,0,True
FUTURES,SHORT,CALIBRATION_BASE,DEVELOPMENT,trend_persistence,1,3,0,0,True
FUTURES,SHORT,EXTENSION_1_5,DEVELOPMENT,volume_valid,1,4,2,0,True
FUTURES,SHORT,EXTENSION_1_5,DEVELOPMENT,volatility_valid,1,4,0,0,True
FUTURES,SHORT,EXTENSION_1_5,DEVELOPMENT,entry_extension_valid,1,4,0,0,True
FUTURES,SHORT,EXTENSION_1_5,DEVELOPMENT,directional_close_confirmation,1,4,0,0,True
FUTURES,SHORT,EXTENSION_1_5,DEVELOPMENT,regime_matched,1,4,0,0,True
FUTURES,SHORT,EXTENSION_1_5,DEVELOPMENT,pullback_depth_min,1,4,0,0,True
FUTURES,SHORT,EXTENSION_1_5,DEVELOPMENT,trend_persistence,1,4,0,0,True
FUTURES,SHORT,EXTENSION_2_0,DEVELOPMENT,volume_valid,1,5,3,0,True
FUTURES,SHORT,EXTENSION_2_0,DEVELOPMENT,volatility_valid,1,5,0,0,True
FUTURES,SHORT,EXTENSION_2_0,DEVELOPMENT,entry_extension_valid,1,5,0,0,True
FUTURES,SHORT,EXTENSION_2_0,DEVELOPMENT,directional_close_confirmation,1,5,0,0,True
